86,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,86
86,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,1,72,86
86,72,72,1,1,1,1,1,1,1,72,72,72,72,72,72,72,1,72,86
86,72,72,1,72,72,72,72,72,1,72,72,72,72,72,72,72,1,72,86
86,72,72,1,72,72,72,72,72,1,72,72,72,72,72,72,72,1,72,86
86,72,72,1,72,72,72,72,72,1,72,72,72,72,72,72,72,1,72,86
86,72,72,1,72,72,72,72,72,1,72,72,72,72,72,72,72,1,72,86
86,72,72,1,72,72,72,72,1,1,72,72,72,72,72,72,1,1,72,86
86,72,72,1,72,72,72,72,1,72,72,72,72,72,72,72,1,72,72,86
86,72,72,1,72,72,72,72,1,72,72,72,72,72,72,72,1,72,72,86
86,72,72,1,72,72,72,72,1,72,72,72,72,72,72,72,1,72,72,86
86,72,72,1,72,72,72,72,1,1,1,1,1,1,1,1,1,72,72,86
86,72,72,1,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,86
86,72,72,1,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,86
86,72,72,1,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,86
